id,cp_code,name,address,address_postal,zone,longitude,latitude,x_coord,y_coord,rates,start_time,end_time,data_provider_id,remarks,capacity_car,capacity_mcycle,capacity_heavy,is_active,height_limit,height_advisory,special_advisory_info,carpark_operator_id,payment_types,carpark_types,location_point,version,created_at,updated_at,rate_id_car,rate_id_mcycle,rate_id_heavy,grace_period
30678,NULL,Fernvale Square,51A Seng Kang West Avenue,NULL,NULL,103.8731156,1.391422,32428.81,41482.61,NULL,0,2359,2,NULL,0,0,0,TRUE,2.1,NULL,NULL,10,NULL,NULL,0101000020E610000028E84020E1F7594066F50EB74343F63F,20221208,58:14.0,58:14.0,30678,NULL,NULL,0
30677,NULL,Solaris,1 Fusionopolis Walk,NULL,NULL,103.7900585,1.29808942,23184.55,31162.45,NULL,0,2359,3,NULL,0,0,0,TRUE,4.2,NULL,NULL,11,NULL,NULL,0101000020E610000051DB865190F259400FF06269F9C4F43F,20221208,58:14.0,58:14.0,30677,NULL,NULL,0
30676,NULL,Pasir Ris Central Hawker Centre,110 Pasir Ris Central,NULL,NULL,103.9515478,1.3734317,41158.31,39493.35,NULL,0,2359,4,NULL,0,0,0,TRUE,2,NULL,NULL,12,NULL,NULL,0101000020E61000002B65BE28E6FC59408BA2AC8493F9F53F,20221208,58:14.0,58:14.0,30676,NULL,NULL,0
30675,NULL,Sengkang General Hospital,110 Sengkang East Way,NULL,NULL,103.8930217,1.3944205,34644.35,41814.17,NULL,0,2359,1,NULL,0,0,0,TRUE,2.1,NULL,NULL,13,NULL,NULL,0101000020E610000093077D4427F9594095F3C5DE8B4FF63F,20221208,58:14.0,58:14.0,30675,NULL,NULL,0
30674,NULL,Khoo Teck Puat Hospital,90 Yishun Central,NULL,NULL,103.8380765,1.4237923,28528.95,45061.92,NULL,0,2359,2,NULL,0,0,0,TRUE,2.4,NULL,NULL,14,NULL,NULL,0101000020E6100000F4C29D0BA3F55940F5BE4C6FDAC7F63F,20221208,58:14.0,58:14.0,30674,NULL,NULL,0
30673,NULL,Claymore Plaza,6 Claymore Hill,NULL,NULL,103.8316118,1.3068146,27809.43,32127.23,NULL,900,1900,3,NULL,0,0,0,TRUE,2,NULL,NULL,15,NULL,NULL,0101000020E6100000EFFDB22039F5594014F70E6DB6E8F43F,20221208,58:14.0,58:14.0,30673,NULL,NULL,0
30672,NULL,Civil Service Club Bukit Batok,91 Bukit Batok West Avenue 2,NULL,NULL,103.749284,1.3526303,18646.35,37193.26,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,16,NULL,NULL,0101000020E6100000A1DAE044F4EF59403A4261AB5FA4F53F,20221208,58:14.0,58:14.0,30672,NULL,NULL,0
30671,NULL,Changi General Hospital,2 Simei Street 3,NULL,NULL,103.9493525,1.3406901,40913.97,35872.98,NULL,0,2359,1,NULL,0,0,0,TRUE,2.1,NULL,NULL,1,NULL,NULL,0101000020E61000000EF8FC30C2FC5940B12259767773F53F,20221208,58:14.0,58:14.0,30671,NULL,NULL,0
30670,NULL,Gemini @ Sims,2 Sims Close,NULL,NULL,103.8775745,1.3158325,32925.08,33124.38,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,2,NULL,NULL,0101000020E61000006D533C2E2AF8594004392861A60DF53F,20221208,58:14.0,58:14.0,30670,NULL,NULL,0
30669,NULL,Pantech Business Hub,192 Pandan Loop,NULL,NULL,103.7528119,1.3111527,19039,32606.91,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,3,NULL,NULL,0101000020E610000089A2F6112EF059405CFEE8407BFAF43F,20221208,58:14.0,58:14.0,30669,NULL,NULL,0
30668,NULL,SAFRA Yishun,60 Yishun Avenue 4,NULL,NULL,103.8410433,1.4239701,28859.16,45081.58,NULL,0,2359,4,NULL,0,0,0,TRUE,2.1,NULL,NULL,4,NULL,NULL,0101000020E6100000460147A7D3F55940A8B51FDF94C8F63F,20221208,58:13.9,58:13.9,30668,NULL,NULL,0
30667,NULL,SAFRA Jurong,333 Boon Lay Way,NULL,NULL,103.7062787,1.3350072,13859.86,35244.6,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,5,NULL,NULL,0101000020E6100000219793AB33ED5940E1CA7E82305CF53F,20221208,58:13.9,58:13.9,30667,NULL,NULL,0
30666,NULL,SAFRA Tampines,1 Tampines Street 92,NULL,NULL,103.9418465,1.3447591,40078.55,36322.91,NULL,0,2359,2,NULL,0,0,0,TRUE,1.8,NULL,NULL,6,NULL,NULL,0101000020E610000088D68A3647FC59406CF9371E2284F53F,20221208,58:13.9,58:13.9,30666,NULL,NULL,0
30665,NULL,Delta House,2 Alexandra Road,NULL,NULL,103.8253587,1.2910236,27113.46,30381.16,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,7,NULL,NULL,0101000020E610000005FE4BADD2F45940B4D3C55C08A8F43F,20221208,58:13.9,58:13.9,30665,NULL,NULL,0
30664,NULL,Cluny Court,501 Bukit Timah Road,NULL,NULL,103.8142455,1.3225732,25876.56,33869.72,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,8,NULL,NULL,0101000020E6100000925A28991CF459409C0E09844229F53F,20221208,58:13.9,58:13.9,30664,NULL,NULL,0
30663,NULL,Concorde Shopping Centre,317 Outram Road,NULL,NULL,103.8342068,1.2888861,28098.26,30144.81,NULL,0,2359,1,NULL,0,0,0,TRUE,2.1,NULL,NULL,9,NULL,NULL,0101000020E61000007406EBA463F55940C44DFC07479FF43F,20221208,58:13.9,58:13.9,30663,NULL,NULL,0
30662,NULL,Chancerlodge Complex,105 Sims Avenue,NULL,NULL,103.8773953,1.3146166,32905.14,32989.93,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,10,NULL,NULL,0101000020E610000081CA9D3E27F859409C757C6AAB08F53F,20221208,58:13.9,58:13.9,30662,NULL,NULL,0
30661,NULL,Connection One,167 Jalan Bukit Merah,NULL,NULL,103.8185266,1.2826382,26353.05,29453.95,NULL,0,2359,3,NULL,0,0,0,TRUE,1.9,NULL,NULL,11,NULL,NULL,0101000020E6100000FD7964BD62F45940DC9A19A2AF85F43F,20221208,58:13.9,58:13.9,30661,NULL,NULL,0
30660,NULL,Plaza 8@CBP,1 Changi Business Park Crescent,NULL,NULL,103.9654119,1.3336016,42701.38,35089.18,NULL,0,2359,4,NULL,0,0,0,TRUE,2.2,NULL,NULL,12,NULL,NULL,0101000020E6100000D56AFE4EC9FD5940D94A9EA16E56F53F,20221208,58:13.9,58:13.9,30660,NULL,NULL,0
30659,NULL,Wisteria Mall,598 Yishun Ring Road,NULL,NULL,103.8412365,1.4179993,28880.66,44421.37,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,13,NULL,NULL,0101000020E6100000E5EC9DD1D6F55940A803B40820B0F63F,20221208,58:13.9,58:13.9,30659,NULL,NULL,0
30658,NULL,The Brooks II,25 Springside Green,NULL,NULL,103.81885,1.4039386,26389.04,42866.62,NULL,0,2359,2,NULL,0,0,0,TRUE,2.2,NULL,NULL,14,NULL,NULL,0101000020E61000001895D40968F45940F07849528876F63F,20221208,58:13.9,58:13.9,30658,NULL,NULL,0
30657,NULL,The Brooks I,60 Springside Walk,NULL,NULL,103.8194655,1.4048091,26457.55,42962.88,NULL,0,2359,3,NULL,0,0,0,TRUE,2.2,NULL,NULL,15,NULL,NULL,0101000020E6100000D2AC6C1F72F459409AF8591B197AF63F,20221208,58:13.8,58:13.8,30657,NULL,NULL,0
30656,NULL,Primz Bizhub,21 Woodlands Close,NULL,NULL,103.8047627,1.4350788,24821.13,46309.92,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,16,NULL,NULL,0101000020E61000009A62693B81F3594043ED123015F6F63F,20221208,58:13.8,58:13.8,30656,NULL,NULL,0
30655,NULL,OrangeTee Building,430 Lorong 6 Toa Payoh,NULL,NULL,103.8493895,1.3313978,29788.09,34845.49,NULL,0,2359,1,NULL,0,0,0,TRUE,2,NULL,NULL,1,NULL,NULL,0101000020E61000003604C7655CF659402A768FC7674DF53F,20221208,58:13.8,58:13.8,30655,NULL,NULL,0
30654,NULL,New Tech Park,151 Lorong Chuan,NULL,NULL,103.8606983,1.352062,31046.76,37130.42,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,2,NULL,NULL,0101000020E6100000428E52AE15F7594030A182C30BA2F53F,20221208,58:13.8,58:13.8,30654,NULL,NULL,0
30653,NULL,Junction Nine,18 Yishun Avenue 9,NULL,NULL,103.8416008,1.433032,28921.21,46083.59,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,3,NULL,NULL,0101000020E610000065129AC9DCF559408DF161F6B2EDF63F,20221208,58:13.8,58:13.8,30653,NULL,NULL,0
30652,NULL,Jackson Square,11 Lorong 3 Toa Payoh,NULL,NULL,103.8484997,1.3373269,29689.06,35501.1,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,4,NULL,NULL,0101000020E61000009D8AAFD14DF659401DFA38E4B065F53F,20221208,58:13.8,58:13.8,30652,NULL,NULL,0
